               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087605,             0.03415,            0.021851,             0.80526,             0.15745,             0.13254,            0.051372,            0.057711,            0.015703,            0.012806,            0.070175,           0.0033138,           0.0033138
                   1,            0.062395,            0.027211,            0.010132,             0.76181,             0.37505,              0.4022,             0.17088,             0.04938,            0.011812,            0.006802,             0.04011,           0.0065814,           0.0065814
                   2,            0.057939,            0.023245,           0.0066683,             0.84525,             0.44808,             0.51202,              0.2217,            0.041314,            0.011079,           0.0063815,           0.0099778,           0.0097829,           0.0097829
                   3,            0.052594,            0.022972,           0.0057274,             0.76341,             0.48848,             0.47984,             0.20946,            0.041761,            0.011551,           0.0056335,            0.009703,            0.009703,            0.009703
                   4,            0.049222,            0.022207,           0.0053754,             0.87111,             0.51036,             0.58229,             0.29389,            0.036296,            0.010659,           0.0052707,            0.009703,            0.009703,            0.009703
                   5,            0.046323,            0.021488,           0.0050663,             0.80262,             0.51949,             0.53198,             0.29297,            0.035686,            0.010236,           0.0046691,            0.009604,            0.009604,            0.009604
                   6,            0.045268,            0.021081,           0.0045495,             0.87194,             0.52927,             0.64134,             0.33039,            0.035144,             0.01004,           0.0046337,            0.009505,            0.009505,            0.009505
                   7,            0.043069,            0.020509,           0.0042233,             0.85782,             0.53244,             0.60351,              0.3164,             0.03409,             0.01033,           0.0046249,            0.009406,            0.009406,            0.009406
                   8,            0.042609,            0.020984,            0.004125,             0.88356,             0.48441,             0.68777,             0.37031,            0.034657,            0.010675,           0.0050045,            0.009307,            0.009307,            0.009307
                   9,            0.041552,             0.02033,           0.0038508,             0.85432,             0.54611,             0.62906,              0.3506,            0.033911,            0.010752,           0.0036151,            0.009208,            0.009208,            0.009208
                  10,            0.041393,            0.020169,           0.0033697,             0.50685,             0.63262,             0.62477,             0.34059,            0.035347,            0.010024,           0.0046574,            0.009109,            0.009109,            0.009109
                  11,            0.039947,            0.019999,           0.0032762,             0.70026,             0.58763,             0.65281,             0.36631,            0.033893,            0.010242,           0.0041659,             0.00901,             0.00901,             0.00901
                  12,            0.039803,            0.020312,           0.0029998,             0.82497,             0.67143,             0.69736,             0.36788,            0.034347,           0.0099119,           0.0041376,            0.008911,            0.008911,            0.008911
                  13,            0.039537,            0.019107,           0.0028748,             0.57476,             0.71071,               0.658,             0.36835,            0.031797,           0.0097911,           0.0041293,            0.008812,            0.008812,            0.008812
                  14,            0.038915,             0.01955,           0.0028173,             0.73396,             0.69062,             0.67013,              0.3782,            0.032963,           0.0098237,           0.0041169,            0.008713,            0.008713,            0.008713
                  15,            0.038192,            0.019231,            0.002834,             0.62197,             0.64476,             0.62553,             0.34968,            0.032842,            0.010009,           0.0045722,            0.008614,            0.008614,            0.008614
                  16,            0.037971,            0.018827,           0.0025448,             0.65413,             0.59826,             0.63533,             0.35479,            0.032994,            0.010077,           0.0038936,            0.008515,            0.008515,            0.008515
                  17,            0.037708,            0.019265,            0.002723,             0.69577,             0.61808,              0.6204,             0.34756,            0.033275,            0.010188,           0.0051645,            0.008416,            0.008416,            0.008416
                  18,            0.037385,            0.018678,           0.0024487,              0.7157,             0.64418,             0.68398,             0.36817,            0.032663,           0.0097764,           0.0048318,            0.008317,            0.008317,            0.008317
                  19,            0.036883,             0.01868,           0.0025387,             0.68008,             0.62584,             0.65824,             0.36012,            0.033126,             0.01038,           0.0049079,            0.008218,            0.008218,            0.008218
                  20,            0.037061,            0.018659,           0.0022139,             0.71161,             0.66384,             0.66169,             0.39206,            0.031695,            0.009989,            0.004228,            0.008119,            0.008119,            0.008119
                  21,            0.036239,            0.017684,           0.0024026,             0.64385,              0.6271,             0.68015,             0.37358,            0.032673,           0.0099464,           0.0040615,             0.00802,             0.00802,             0.00802
                  22,            0.035896,            0.018288,           0.0020477,             0.76803,             0.67799,             0.70143,             0.37534,              0.0332,             0.01005,           0.0037025,            0.007921,            0.007921,            0.007921
                  23,            0.035619,              0.0181,           0.0022319,             0.66182,             0.69301,             0.69269,             0.39481,            0.032483,            0.010081,           0.0042951,            0.007822,            0.007822,            0.007822
                  24,            0.035264,            0.017733,           0.0022971,             0.62299,             0.74693,             0.68121,             0.38919,             0.03259,           0.0097224,           0.0046537,            0.007723,            0.007723,            0.007723
                  25,            0.035085,            0.017514,           0.0020167,              0.7245,             0.64532,             0.67464,             0.37581,            0.033751,            0.010159,           0.0044095,            0.007624,            0.007624,            0.007624
                  26,            0.034451,            0.017288,           0.0019054,             0.71615,             0.62822,             0.72973,             0.42789,            0.031954,           0.0099472,           0.0042971,            0.007525,            0.007525,            0.007525
                  27,            0.034014,             0.01749,           0.0018236,             0.72555,             0.62876,             0.65505,             0.37468,            0.032065,            0.010076,           0.0050647,            0.007426,            0.007426,            0.007426
                  28,            0.033972,            0.017296,           0.0017919,             0.76813,             0.66086,             0.71519,             0.40215,            0.032962,            0.010266,           0.0042445,            0.007327,            0.007327,            0.007327
                  29,            0.033733,            0.017268,           0.0017455,             0.87643,             0.61642,             0.68399,             0.37676,            0.032451,           0.0098842,           0.0039955,            0.007228,            0.007228,            0.007228
                  30,            0.033701,            0.017102,           0.0016435,             0.73759,             0.72553,             0.71381,             0.41561,            0.031911,            0.010036,           0.0040942,            0.007129,            0.007129,            0.007129
                  31,            0.033328,            0.017053,           0.0018794,             0.65091,             0.75002,             0.66876,              0.3888,            0.032023,           0.0099185,            0.005425,             0.00703,             0.00703,             0.00703
                  32,            0.032827,            0.016656,           0.0016028,             0.73604,             0.72704,             0.71855,              0.4009,            0.032701,            0.010038,           0.0047687,            0.006931,            0.006931,            0.006931
